ts_gps,cell_eci,split,rsrp_meas,snr_meas,rsrp_raw,rsrp_los,is_los,los_minus_tot,dist_tx_rx_m,dist_veh_tx_m,dist_veh_rx_m,veh_x,veh_y,tx_src
2021-06-22 09:52:00,33802242,train,-97.505625,-1.6039999988675118,-59.82240295410156,-60.69606018066406,True,-0.8736572265625,231.7862018814016,342.2934738676109,113.15164624855568,579.3408675670976,700.3883333336455,refined
2021-06-22 14:37:21,33802242,train,-78.909375,20.587000036239623,-60.47833251953125,-61.46363067626953,True,-0.9852981567382812,253.51121797583693,221.04107337015378,47.673388089638316,686.9608135323796,695.7500000001583,refined
2021-06-23 15:52:27,33802242,train,-82.66625,16.82200002670288,-60.89678955078125,-61.95314025878906,True,-1.0563507080078125,268.3893278258608,251.33045066143828,69.43560727156888,690.8003499047556,700.9449333330313,refined
2021-06-23 13:54:30,33802242,train,-81.0475,17.550999994277955,-59.98821258544922,-60.89006042480469,True,-0.9018478393554688,237.09971064578525,251.33045066143828,54.555986137290866,697.2372197054079,700.0172666663337,refined
2021-06-22 09:52:10,33802242,train,-99.074375,-3.1269999891519547,-59.81919860839844,-60.69230651855469,True,-0.87310791015625,231.68449033133405,251.33045066143828,23.731277335315845,667.311421509348,703.9134666659885,refined
2021-06-22 09:51:29,33802242,train,-98.263125,-1.6350000013411046,-58.95521545410156,-59.68287658691406,True,-0.7276611328125,205.85607547547303,251.33045066143828,63.3100349446711,657.9384356593447,741.5767333332726,refined
2021-06-22 09:50:58,33802242,train,-75.169375,20.469000034332275,-57.35639953613281,-57.83104705810547,True,-0.47464752197265625,165.4808295514944,170.78983754019592,50.98156388136262,771.9952514253994,760.1300666664309,refined
2021-06-23 13:54:37,33802242,train,-76.5025,24.51600009918213,-57.526214599609375,-58.026206970214844,True,-0.49999237060546875,169.35144788270864,170.78983754019592,55.688367020459104,773.4633094500147,706.325400000351,refined
2021-06-22 18:13:58,33802242,train,-86.418125,19.54400005340576,-54.039146423339844,-54.14007568359375,True,-0.10092926025390625,106.02208541441951,170.78983754019592,81.29706902807533,797.2910204664965,742.5043999999701,refined
2021-06-22 09:50:46,33802242,train,-74.408125,20.81900003433228,-57.26280212402344,-57.72367858886719,True,-0.46087646484375,163.3872031648858,170.78983754019592,49.33133351349514,770.4142658602256,764.7683999999183,refined
2021-06-22 09:52:21,33802242,train,-97.06625,-2.9800000113993885,-60.76683807373047,-61.801177978515625,True,-1.0343399047851562,263.6812471650665,170.78983754019592,134.16368269292735,784.4172808651916,714.6743999998373,refined
2021-06-23 14:44:38,33802242,train,-76.4275,19.89100004196167,-58.39793395996094,-59.03423309326172,True,-0.6362991333007812,190.74809141214453,170.78983754019592,75.14495930112423,753.3622072654703,705.2121999999977,refined
2021-06-23 15:52:31,33802242,train,-79.1325,21.51699999809265,-59.561126708984375,-60.390480041503906,True,-0.8293533325195312,223.65018310504283,170.78983754019592,105.76708470807196,739.8109024221371,705.2121999999977,refined
2021-06-22 09:50:42,33802242,train,-75.093125,20.65299995422363,-57.26280212402344,-57.72367858886719,True,-0.46087646484375,163.3872031648858,170.78983754019592,49.33133351349514,770.1884107794691,763.8407333332208,refined
2021-06-23 17:02:00,33802242,train,-75.8775,24.224999980926512,-58.63086700439453,-59.30503845214844,True,-0.6741714477539062,196.92163309048644,170.78983754019592,78.72648578322512,752.458786942445,706.5109333332159,refined
2021-06-22 09:50:56,33802242,train,-74.3525,21.09299989700317,-57.35639953613281,-57.83104705810547,True,-0.47464752197265625,165.4808295514944,170.78983754019592,50.98156388136262,770.9789035620561,758.8313333332127,refined
2021-06-22 09:51:03,33802242,train,-74.3475,21.000999965667724,-57.35639953613281,-57.83104705810547,True,-0.47464752197265625,165.4808295514944,170.78983754019592,50.98156388136262,767.8169324318287,759.3879333333894,refined
2021-06-23 17:02:10,33802242,train,-87.855625,13.226000003814695,-53.40081024169922,-53.461647033691406,True,-0.0608367919921875,97.45538441005868,123.17200081321799,41.01291817185966,873.0654000494701,722.095733333417,refined
2021-06-22 18:13:16,33802242,train,-82.929375,19.818000030517577,-54.94696807861328,-55.12367248535156,True,-0.17670440673828125,119.60057611806174,123.17200081321799,60.57067931732359,815.8111370857465,722.095733333417,refined
2021-06-22 14:37:34,33802242,train,-79.78375,17.8239999294281,-55.09978485107422,-55.29137420654297,True,-0.19158935546875,122.06337802864316,123.17200081321799,88.18331468512423,844.7205874187042,715.6020666665347,refined
2021-06-23 14:44:43,33802242,train,-75.39625,26.666000022888184,-56.601707458496094,-56.969757080078125,True,-0.36804962158203125,149.37081375648995,123.17200081321799,116.88778607286133,810.7293977696321,710.2216000000058,refined
