operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,PCell_Cell_ID,PCell_freq_MHz,n_rows,mean_rsrp,tower_lat,tower_lon,position_source,ocid_vs_wcl_dist_m,wcl_lat,wcl_lon
1,262,1,1492,26947072,197,1800.0,5083,-97.48182748356938,52.49205461706331,13.304676129225175,wcl_fallback,,52.49205461706331,13.304676129225175
1,262,1,1494,26358784,348,1800.0,3640,-69.66196735057952,52.505,13.3416,ocid_exact,66.2,52.505585090258194,13.341420311547465
1,262,1,1493,28650241,172,1800.0,3513,-93.45025118401313,52.4979,13.3073,ocid_exact,98.1,52.49872914190717,13.307794811801411
1,262,1,1492,40782336,450,1800.0,3358,-81.60876645532116,52.4894,13.3031,ocid_exact,132.9,52.488420135837785,13.301976872047913
1,262,1,1494,26369024,367,1800.0,3277,-96.06025373276536,52.509,13.3522,ocid_exact,64.6,52.509474323219656,13.351648969631432
1,262,1,1492,26356993,109,1800.0,2981,-97.62344150963926,52.512,13.287,ocid_eci_notac,33.6,52.51227689764903,13.287200600290772
1,262,1,1493,26368258,424,1800.0,2851,-84.86763029073147,52.499492918743016,13.312711125278948,wcl_fallback,,52.499492918743016,13.312711125278948
1,262,1,1492,26947074,196,1800.0,2648,-91.78513634010184,52.493,13.2978,ocid_exact,294.0,52.49239264939374,13.293573359707654
1,262,1,1494,26358785,349,1800.0,2618,-72.16793923124935,52.50386335478464,13.34004952171732,wcl_fallback,,52.50386335478464,13.34004952171732
1,262,1,1492,40812800,420,1800.0,2459,-85.6311191991389,52.5092,13.2831,ocid_eci_notac,262.6,52.50684204671087,13.28331268371285
1,262,1,1494,33802242,246,1800.0,2425,-85.01734335070496,52.5127,13.3344,ocid_exact,116.4,52.51352461327435,13.33545944714987
1,262,1,1495,26349058,2,1800.0,2185,-99.45128453836396,52.5087,13.3645,ocid_exact,161.8,52.51003517284028,13.363551131616411
1,262,1,1494,29127682,278,1800.0,2098,-85.31247481488047,52.5125,13.3166,ocid_exact,164.1,52.512056605624224,13.314286445320915
1,262,1,1494,26359554,55,1800.0,2090,-77.59076482335638,52.5051,13.3332,ocid_exact,192.2,52.50434719861576,13.335755703114849
1,262,1,1493,26365185,416,1800.0,2017,-84.9316003214829,52.5116,13.3041,ocid_exact,200.8,52.51119338974592,13.301208487069852
1,262,1,1495,26607105,283,1800.0,2005,-90.04731003344118,52.5158,13.38,ocid_exact,303.8,52.51367902234346,13.37717048658417
1,262,1,1495,30828801,346,1800.0,1950,-91.07241859697018,52.516,13.3579,ocid_exact,156.7,52.51507599828876,13.359649149294665
1,262,1,1495,26722816,485,1800.0,1904,-83.84149842544011,52.5118,13.3724,ocid_exact,72.9,52.51123453662186,13.371854904415224
1,262,1,1495,30829824,407,1800.0,1884,-85.7861343784782,52.5146,13.3509,ocid_exact,164.7,52.514329164567016,13.348506508280122
1,262,1,1494,29127681,277,1800.0,1834,-90.11613345623913,52.5123,13.3244,ocid_exact,92.5,52.51243994427373,13.323051951173923
1,262,1,1493,28792066,76,1800.0,1803,-96.800337510485,52.493,13.3109,ocid_exact,219.4,52.4946295160577,13.309073501250364
1,262,1,1493,26365186,414,1800.0,1617,-80.79508061204662,52.5105,13.2933,ocid_exact,152.2,52.510801392134326,13.295494043988828
