_row,operator,device,cell_id,split,measured_rsrp,sionna_power_raw,dist_m,freq_mhz,area,gap_type,wcl_lat,wcl_lon,sionna_power_cal,residual_cal
77225,1,pc1,26347520.0,train,-88.19125,-42.78435516357422,8.350979768317211,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-77.72334930971499,-10.467900690285006
172954,1,pc4,26347520.0,train,-99.426875,-53.27592468261719,95.12143124665438,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-88.21491882875796,-11.211956171242036
76817,1,pc4,26347520.0,train,-100.13,-53.281402587890625,95.18948619564836,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-88.2203967340314,-11.909603265968599
77139,1,pc1,26347520.0,train,-91.051875,-46.12605285644531,33.00730697877235,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-81.06504700258608,-9.986827997413911
114686,1,pc1,26347520.0,train,-90.723125,-43.51214599609375,15.176717565064799,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-78.45114014223452,-12.271984857765474
141935,1,pc4,26347520.0,train,-98.071875,-43.927772521972656,18.298592278144312,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-78.86676666811343,-19.205108331886578
77144,1,pc1,26347520.0,train,-90.410625,-45.88243103027344,31.398058004117953,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-80.82142517641421,-9.589199823585787
77318,1,pc1,26347520.0,train,-91.9725,-46.338409423828125,34.41920021921568,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-81.2774035699689,-10.6950964300311
77114,1,pc4,26347520.0,train,-87.549375,-43.405731201171875,14.321377390414598,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-78.34472534731265,-9.204649652687351
141940,1,pc1,26347520.0,train,-83.26125,-43.638458251953125,16.156177158837117,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-78.5774523980939,-4.683797601906107
127220,1,pc4,26347520.0,train,-99.28375,-46.88414001464844,38.102818480767155,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-81.82313416078921,-17.46061583921079
27853,1,pc1,26347520.0,train,-95.004375,-65.80439758300781,419.05855382605233,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-100.74339172914858,5.739016729148588
172916,1,pc4,26347520.0,train,-104.72375,-56.83705139160156,146.86796803118875,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-91.77604553774233,-12.947704462257661
114680,1,pc1,26347520.0,train,-88.718125,-43.589561462402344,15.780447087909744,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-78.52855560854312,-10.189569391456885
76775,1,pc4,26347520.0,train,-101.17375,-53.46443176269531,97.39650751403752,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-88.40342590883608,-12.770324091163914
12913,1,pc4,26347520.0,train,-103.356875,-58.254150390625,173.8009930926408,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-93.19314453676577,-10.16373046323423
77119,1,pc1,26347520.0,train,-93.78,-47.433837890625,41.91888635503005,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-82.37283203676577,-11.40716796323423
76576,1,pc4,26347520.0,train,-96.93877551020408,-61.719017028808594,260.9317005216651,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-96.65801117494937,-0.280764335254716
64963,1,pc1,26347520.0,train,-92.3925,-47.926109313964844,45.44636061488336,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-82.86510346010562,-9.527396539894383
77138,1,pc4,26347520.0,train,-93.17625,-42.701805114746094,7.291115794564966,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-77.64079926088687,-15.53545073911313
27552,1,pc1,26347520.0,train,-95.85875,-53.15228271484375,93.6492515058797,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-88.09127686098452,-7.767473139015479
127206,1,pc4,26347520.0,train,-96.6625,-43.03839111328125,11.08041965836874,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-77.97738525942202,-18.685114740577973
77212,1,pc1,26347520.0,train,-88.910625,-42.79997253417969,8.538698992649028,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-77.73896668032046,-11.171658319679537
89692,1,pc1,26347520.0,train,-97.43125,-52.230979919433594,83.29567586853202,1800.0,Highway,Unflagged,52.500989605844694,13.280251405277019,-87.16997406557437,-10.26127593442564
