_row,device,cell_id,operator,new_split
0,pc1,33802242.0,1,train
1,pc1,33802242.0,1,train
2,pc1,33802242.0,1,val
3,pc1,33802242.0,1,train
4,pc1,33802242.0,1,train
5,pc1,33802242.0,1,train
6,pc1,33802242.0,1,val
7,pc1,33802242.0,1,train
8,pc1,33802242.0,1,val
9,pc1,33802242.0,1,val
10,pc1,33802242.0,1,train
11,pc1,33802242.0,1,train
12,pc1,33802242.0,1,train
13,pc1,33802242.0,1,train
14,pc1,33802242.0,1,train
15,pc1,33802242.0,1,train
16,pc1,33802242.0,1,train
17,pc1,33802242.0,1,train
18,pc1,33802242.0,1,train
19,pc1,33802242.0,1,train
20,pc1,33802242.0,1,val
21,pc1,33802242.0,1,val
22,pc1,33802242.0,1,val
23,pc1,33802242.0,1,train
24,pc1,33802242.0,1,train
25,pc1,33802242.0,1,val
26,pc1,33802242.0,1,train
27,pc1,33802242.0,1,train
28,pc1,33802242.0,1,train
29,pc1,33802242.0,1,train
30,pc1,33802242.0,1,val
31,pc1,33802242.0,1,train
32,pc1,33802242.0,1,train
33,pc1,33802242.0,1,val
34,pc1,33802242.0,1,train
35,pc1,33802242.0,1,train
36,pc1,33802242.0,1,train
37,pc1,33802242.0,1,train
38,pc1,33802242.0,1,train
39,pc1,33802242.0,1,val
40,pc1,33802242.0,1,train
41,pc1,33802242.0,1,train
42,pc1,33802242.0,1,train
43,pc1,33802242.0,1,train
44,pc1,33802242.0,1,val
45,pc1,33802242.0,1,train
46,pc1,33802242.0,1,train
47,pc1,33802242.0,1,train
48,pc1,33802242.0,1,train
49,pc1,33802242.0,1,train
50,pc1,33802242.0,1,train
51,pc1,33802242.0,1,train
52,pc1,33802242.0,1,train
53,pc1,33802242.0,1,val
54,pc1,33802242.0,1,train
55,pc1,33802242.0,1,train
56,pc1,33802242.0,1,train
57,pc1,33802242.0,1,train
58,pc1,33802242.0,1,train
59,pc1,33802242.0,1,train
60,pc1,33802242.0,1,train
61,pc1,33802242.0,1,train
62,pc1,33802242.0,1,train
63,pc1,33802242.0,1,train
64,pc1,33802242.0,1,val
65,pc1,33802242.0,1,train
66,pc1,33802242.0,1,train
67,pc1,33802242.0,1,train
68,pc1,33802242.0,1,train
69,pc1,33802242.0,1,train
70,pc1,33802242.0,1,train
71,pc1,33802242.0,1,train
72,pc1,33802242.0,1,train
73,pc1,33802242.0,1,train
74,pc1,33802242.0,1,train
75,pc1,33802242.0,1,train
76,pc1,33802242.0,1,train
77,pc1,33802242.0,1,train
78,pc1,33802242.0,1,train
79,pc1,33802242.0,1,train
80,pc1,33802242.0,1,val
81,pc1,33802242.0,1,train
82,pc1,33802242.0,1,train
83,pc1,33802242.0,1,train
84,pc1,33802242.0,1,train
85,pc1,33802242.0,1,train
86,pc1,33802242.0,1,train
87,pc1,33802242.0,1,train
88,pc1,33802242.0,1,train
89,pc1,33802242.0,1,train
90,pc1,33802242.0,1,train
91,pc1,33802242.0,1,val
92,pc1,33802242.0,1,train
93,pc1,33802242.0,1,train
94,pc1,33802242.0,1,train
95,pc1,33802242.0,1,train
96,pc1,33802242.0,1,train
97,pc1,33802242.0,1,train
98,pc1,33802242.0,1,train
99,pc1,33802242.0,1,train
100,pc1,33802242.0,1,train
101,pc1,33802242.0,1,train
102,pc1,33802242.0,1,train
103,pc1,33802242.0,1,train
104,pc1,33802242.0,1,val
105,pc1,33802242.0,1,val
106,pc1,33802242.0,1,val
107,pc1,33802242.0,1,train
108,pc1,33802242.0,1,train
109,pc1,33802242.0,1,train
110,pc1,33802242.0,1,train
111,pc1,33802242.0,1,train
112,pc1,33802242.0,1,train
113,pc1,33802242.0,1,val
114,pc1,33802242.0,1,train
