operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,PCell_Cell_ID,PCell_Downlink_frequency,PCell_Uplink_frequency,PCell_freq_MHz,PCell_Band_Indicator,PCell_Downlink_bandwidth_MHz,PCell_Uplink_bandwidth_MHz,n_rows,mean_rsrp,mean_lat,mean_lon,tower_lat,tower_lon,match_type
2.0,262.0,2.0,49104.0,2568970.0,498.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,4736.0,-90.65133743663957,52.491936044130064,13.304700402942006,,,NOT_FOUND
2.0,262.0,2.0,49101.0,2819850.0,489.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,4650.0,-80.58018880003968,52.50450247419354,13.340284174193547,,,NOT_FOUND
2.0,262.0,2.0,49300.0,3499534.0,336.0,2850.0,20850.0,2600.0,7.0,20.0,20.0,4074.0,-93.10386787053676,52.51108942030764,13.287258935117002,,,NOT_FOUND
2.0,262.0,2.0,49104.0,2824458.0,420.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,3759.0,-85.47127108341607,52.49923970603884,13.311867908574976,52.4989,13.3128,exact_eci
2.0,262.0,2.0,49300.0,2818312.0,374.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,2963.0,-101.90902013546304,52.5041712639217,13.281163962200472,,,NOT_FOUND
2.0,262.0,2.0,49101.0,2940680.0,196.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,2778.0,-85.19860596552354,52.50356339152868,13.335020970722343,52.506,13.3347,exact_eci
2.0,262.0,2.0,49104.0,3428105.0,34.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,2653.0,-79.00106964819717,52.49131950936047,13.295335611257697,,,NOT_FOUND
2.0,262.0,2.0,49104.0,2580501.0,416.0,125.0,18125.0,2000.0,1.0,15.0,15.0,2004.0,-80.89867179456361,52.51100928642714,13.298313172821024,52.5114,13.2996,exact_eci
2.0,262.0,2.0,49101.0,4078344.0,467.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1973.0,-93.70806220669466,52.50986524835276,13.350770551613447,,,NOT_FOUND
2.0,262.0,2.0,49104.0,2828558.0,215.0,2850.0,20850.0,2600.0,7.0,20.0,20.0,1973.0,-89.11972184876166,52.51209016050008,13.314718567325562,,,NOT_FOUND
