operator,PCell_MCC,PCell_MNC,PCell_TAC,PCell_Cell_Identity,PCell_Cell_ID,PCell_Downlink_frequency,PCell_Uplink_frequency,PCell_freq_MHz,PCell_Band_Indicator,PCell_Downlink_bandwidth_MHz,PCell_Uplink_bandwidth_MHz,n_rows,mean_rsrp,mean_lat,mean_lon
2,262.0,2.0,49104.0,2568970.0,498.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,4736,-90.65133743663955,52.491936044130064,13.304700402942006
2,262.0,2.0,49101.0,2819850.0,489.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,4650,-80.58018880003968,52.50450247419354,13.340284174193547
2,262.0,2.0,49300.0,3499534.0,336.0,2850.0,20850.0,2600.0,7.0,20.0,20.0,4074,-93.10386787053676,52.51108942030764,13.287258935117002
2,262.0,2.0,49104.0,2824458.0,420.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,3759,-85.47127108341607,52.49923970603884,13.311867908574976
2,262.0,2.0,49300.0,2818312.0,374.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,2963,-101.90902013546305,52.5041712639217,13.281163962200472
2,262.0,2.0,49101.0,2940680.0,196.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,2778,-85.19860596552354,52.50356339152868,13.335020970722343
2,262.0,2.0,49104.0,3428105.0,34.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,2653,-79.00106964819717,52.49131950936047,13.295335611257695
2,262.0,2.0,49104.0,2580501.0,416.0,125.0,18125.0,2000.0,1.0,15.0,15.0,2004,-80.89867179456361,52.51100928642714,13.298313172821025
2,262.0,2.0,49101.0,4078344.0,467.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1973,-93.70806220669466,52.50986524835276,13.350770551613447
2,262.0,2.0,49104.0,2828558.0,215.0,2850.0,20850.0,2600.0,7.0,20.0,20.0,1973,-89.11972184876166,52.51209016050008,13.314718567325562
2,262.0,2.0,49300.0,3499540.0,418.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1938,-91.94002401140858,52.51093915290678,13.287196162710698
2,262.0,2.0,49104.0,2568968.0,499.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1901,-95.78102658424815,52.496333069437135,13.30840736629844
2,262.0,2.0,49104.0,4051731.0,422.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1772,-83.96068986884443,52.49840298626787,13.307661286681716
2,262.0,2.0,49100.0,4080392.0,81.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1708,-93.41192086799256,52.516013189890714,13.374816304644808
2,262.0,2.0,49104.0,2824469.0,364.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1643,-85.53541096895614,52.49956879285859,13.312513689389329
2,262.0,2.0,49102.0,3301896.0,387.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1631,-97.76261959820422,52.50990027590435,13.36054435417944
2,262.0,2.0,49104.0,2948877.0,70.0,2850.0,20850.0,2600.0,7.0,20.0,20.0,1582,-102.60382081779227,52.49968210320053,13.28124682560418
2,262.0,2.0,49101.0,2819859.0,209.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1513,-71.36175178414824,52.50551003855475,13.34138676140119
2,262.0,2.0,49104.0,2826249.0,316.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1504,-93.1964056206327,52.48839248116135,13.302369325132979
2,262.0,2.0,49101.0,51447561.0,232.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1493,-97.23379266021223,52.51387988274707,13.32933435989471
2,262.0,2.0,49101.0,51842568.0,223.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1446,-99.87717748558755,52.513556387691565,13.336518459051725
2,262.0,2.0,49104.0,4051733.0,420.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1434,-88.37212370282975,52.49561549511854,13.305303377498838
2,262.0,2.0,49101.0,2567188.0,434.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1415,-108.31190446114469,52.513545698036395,13.332930356800766
2,262.0,2.0,49104.0,2826260.0,151.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1409,-94.62035957140723,52.488377665010646,13.302014685356044
2,262.0,2.0,49104.0,2824456.0,421.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1368,-90.43819192325134,52.49993059088693,13.322647383040936
2,262.0,2.0,49101.0,4078355.0,312.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1363,-94.95577838782552,52.509162349486054,13.35083460474792
2,262.0,2.0,49101.0,3538707.0,447.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1271,-103.71459989232592,52.51383520325203,13.341047306582743
2,262.0,2.0,49100.0,3998479.0,21.0,2850.0,20850.0,2600.0,7.0,20.0,20.0,1260,-108.68304975645758,52.51516677227186,13.36114000947739
2,262.0,2.0,49104.0,2828559.0,49.0,2850.0,20850.0,2600.0,7.0,20.0,20.0,1260,-93.65621102982274,52.511261169312164,13.302219943121692
2,262.0,2.0,49100.0,2832399.0,209.0,2850.0,20850.0,2600.0,7.0,20.0,20.0,1233,-91.27014655866228,52.5147905920519,13.376103027845364
2,262.0,2.0,49104.0,3428116.0,162.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1116,-84.2259218513738,52.49142773148148,13.295105579450418
2,262.0,2.0,49100.0,4080393.0,82.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1114,-86.86880257614538,52.515492069562484,13.366412752596789
2,262.0,2.0,49102.0,2843411.0,203.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1104,-85.85748136254657,52.51122875754831,13.371209144021739
2,262.0,2.0,49102.0,2843400.0,88.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,1095,-87.84781302566176,52.511907164383565,13.372817716894977
2,262.0,2.0,49104.0,2828564.0,175.0,125.0,18125.0,2000.0,1.0,15.0,15.0,1043,-82.78405547029519,52.511975210930004,13.312742285075105
2,262.0,2.0,49104.0,3428106.0,33.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,987,-92.99706160008986,52.494920644418876,13.285966543920214
2,262.0,2.0,49102.0,2843405.0,50.0,2850.0,20850.0,2600.0,7.0,20.0,20.0,976,-92.16288956096581,52.511074769467214,13.370767281420765
2,262.0,2.0,49101.0,4078345.0,466.0,1801.0,19801.0,1800.0,3.0,20.0,20.0,939,-83.86379525874703,52.50634394923677,13.344136247781329
2,262.0,2.0,49300.0,2818323.0,409.0,125.0,18125.0,2000.0,1.0,15.0,15.0,913,-100.95244659007115,52.50187059693319,13.281830146038699
2,262.0,2.0,49101.0,3684372.0,351.0,125.0,18125.0,2000.0,1.0,15.0,15.0,910,-96.45270985831306,52.51262955505279,13.321108612368024
2,262.0,2.0,49101.0,2819861.0,208.0,125.0,18125.0,2000.0,1.0,15.0,15.0,907,-74.72078255621126,52.503611624402794,13.339206089672913
