cell_id,n_obs,wcl_lat,wcl_lon,n_localization,n_validation
26947072,5083,52.492031394785684,13.304692703561672,3050,2033
26358784,3640,52.505568981530594,13.341406478537873,2184,1456
28650241,3512,52.498726793945984,13.307783904747904,2107,1405
40782336,3358,52.48842649377857,13.301991899064438,2015,1343
26369024,3277,52.50948574292946,13.351682982839936,1966,1311
26356993,2981,52.51230580507954,13.287218605898769,1789,1192
26368258,2851,52.49951116435723,13.312760897457096,1711,1140
26947074,2647,52.492413464221,13.293553611531538,1588,1059
26358785,2618,52.50385784934669,13.340026956058148,1571,1047
40812800,2459,52.506868718135806,13.283406191559788,1475,984
33802242,2317,52.51349612095335,13.335287458057891,1390,927
26349058,2185,52.51001986831202,13.363396129754406,1311,874
26359554,2089,52.50435867260921,13.335748914772914,1253,836
29127682,2082,52.51206214790351,13.31424992518772,1249,833
26365185,2017,52.51120576271932,13.301241978793938,1210,807
26607105,2005,52.51366972688981,13.377164855285123,1203,802
26722816,1904,52.511236262998864,13.371859464535078,1142,762
30829824,1884,52.51432905806167,13.348522619507568,1130,754
29127681,1834,52.51244563219814,13.323094464571716,1100,734
28792066,1803,52.49457032168952,13.30845197773227,1082,721
26365186,1617,52.510804307365675,13.295366345436442,970,647
30827264,1614,52.51601490553668,13.376659335603392,968,646
26795520,1600,52.50058730262824,13.331174105070348,960,640
30828801,1586,52.51507995700136,13.35965127424737,952,634
26353920,1428,52.51054225938636,13.290080147960639,857,571
26367489,1403,52.514344285196955,13.328700121348623,842,561
34210562,1342,52.497544009938494,13.282825915835131,805,537
26369025,1337,52.506662244004,13.34566469667898,802,535
26367744,1329,52.50028212999867,13.327554456384082,797,532
26720002,1308,52.50234540341206,13.333502202733843,785,523
26347520,1246,52.50099406722822,13.280240002326314,748,498
33802241,1058,52.513927529557556,13.342482473914458,635,423
30827265,1043,52.51608276711959,13.375821619669694,626,417
26947073,989,52.4896095313992,13.298213205860494,593,396
26351360,984,52.499787262845224,13.320563448586821,590,394
29127680,982,52.515112748442526,13.323163776781465,589,393
30829312,981,52.51441988769731,13.35151807451146,589,392
26359553,955,52.50382042492404,13.337844727042638,573,382
26363650,917,52.51169385466756,13.308550098993571,550,367
26351361,828,52.49993372649668,13.323060355818317,497,331
34006273,662,52.51483156520413,13.355583478093704,397,265
26351362,633,52.49959828269105,13.317169247654043,380,253
